index,product,category,sub_category,brand,sale_price,market_price,type,rating,description,image
3020,Cleaner - Neutraliser Spray,"Kitchen, Garden & Pets",Pet Food & Accessories,Get Off,2800,2800,Pet Cleaning & Grooming,,"Remove any solid excreta left by cats and for greater effectiveness wash fouled area wash and Get off, Spray or hose down larger areas outdoors and then cleanmore thoroughly with wash and Get off, Spray Shake bottle before use, then apply Get off, Spray onto and around soiled areas and leave to take effect, Indoors or outdoors, One application of Get off,Spray will usally deter cats, dogs and other animals from further fouling, but treatment can be repeated every 12 hours if required to deter particullary persistent pets, Get off Spray is ozone friendly and is safe if used as directed, Use sparingly and avoid over application, Do not use near ornamental pnds or those contaning fish, Do not use on edible crops and do not apply direct to delicate garden or houseplants as this may cause, spot burning, Do not use on painted or varnished surface, Indoors, test on a small hidden, test on a small hidden of Carpet, furnishings etc before use to test for colour fastness,Wash hands after use.",
3021,Black Pepper - Whole,Gourmet & World Food,Cooking & Baking Needs,Sprig,664.05,699,"Herbs, Seasonings & Rubs",3,"Tellicherry Garbled Special Extra Bold Pepper. For long it has been considered the best spice in the world. Grown on the Malabar Coast of India, whole Tellicherry peppercorns are considered among the finest and most desired in the world. Black Tellicherry peppercorn berries are left to ripen on the vine longer than most (but before it turns red) which helps in developing a rich flavour. Its mellow complexity makes it a wonderful all purposer in kitchen and its uses as a gourmet spice and seasoning are many.",
3022,Ayurvedic Shampoo - Anti-Dandruff,Beauty & Hygiene,Hair Care,K.P. Namboodiris,55,55,Shampoo & Conditioner,4.7,"Gently removes dandruff & prevent recurrance, without causing any damage to hairs.  For Beauty tips, tricks & more visit https://bigbasket.blog/",
3023,Organic - Chana Dal/Channa Unpolished,"Foodgrains, Oil & Masala",Dals & Pulses,bb Royal,95,141,Organic Dals & Pulses,4.1,"Organic Channa Dal plays a vital part while accompanying rice or rotis. It is one of the best dals to improve taste and purity after preparing it. The finest thing about Channa Dal is multiple dishes can be completed out of it. This Dal consists of a number of health advantages; Bengal gram dal has a nutty flavour, and is a rich supply of protein. It also has a low glycemic index. This is cultivated and processed without the use of pesticides, artificial fertilizers or chemicals.",
3024,Amla Candy - Sweet,Gourmet & World Food,Chocolates & Biscuits,Organicana,75,75,"Marshmallow, Candy, Jelly",,"Amla Candy is great on the go snack. Amla is one of the most powerful super food, and has been an important part of traditional Ayurvedic medicine for thousands of years. According to Theravada Buddhism amla is considered the plant of enlightenment. Synonyms of amla in Sanskrit mean __other,_ __urse,_ and __mmortality_. Amla contains 8 times more vitamin C then Orange.",
3025,Almonds - Mediterranean Rosemary,"Foodgrains, Oil & Masala",Dry Fruits,Organic Origins,330,330,Other Dry Fruits,1,"Our delicately flavoured and roasted nuts are made in small batches, to retain the taste and flavours. It is mad in our certified organic facility with extreme care on hygiene, using our own formulated recipe, with no added preservatives, under the care of our Star Chef Amit. Something interesting to know about the making process is that we play the chefs music of choice as we believe that really Good Food needs that extra touch beyond the pure ingredients and the perfect recipe! We hope you enjoy our products as much as we enjoyed making them!",
3026,Borosilicate Glass Baking Square Dish,"Kitchen, Garden & Pets",Crockery & Cutlery,Pyrex,479,525,Glassware,4.4,"Pyrex Square Dish Size of 1.9L Made in USA for a line of clear, low-thermal-expansion borosilicate glass used for laboratory and kitchenware. Pyrex Product is microwave safe, easy cleanup, freezer safe, dishwasher safe.",
3027,Compact Paddle Hair Brush,Beauty & Hygiene,Hair Care,AGARO,249,249,Tools & Accessories,5,Agaro hair brushes come with a wide range of models which are suitable for all types and textures of hairs. The brushes come with nylon bristles which helps to smoothen the hair and make various hairstyles giving a professional look.,
3028,Nimbu Roasted Chana Jor,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",FabBox,60,60,"Healthy, Baked Snacks",,"Chana chor garam has always been a popular snack for all Indian families. Traditionally, it is made from cooked chickpeas that have been flattened, fried, and seasoned with spices. Our chana chor's speciality is that we turn fried to roasted and save all its nutrients! They are loaded with healthy plant-based protein and plenty of dietary fibre from chickpeas. Chana chor garam is also chock-full of iron. Not to forget the deliciousness it holds! It can be enjoyed as a solo snack or as a crunchy addition to side dishes. So what are you waiting for? This is a must have! These are gluten-free, non-fried, high fibre snacks with no transfat.",
3029,Silver Aluminium Foil 14 Micron,Cleaning & Household,"Disposables, Garbage Bag",Ezee Alka,425,425,"Aluminium Foil, Clingwrap",4.1,"Ezee Aluminium foil provides an absolute barrier to protect foods, whether on the shelf, in the cooler or in the freezer. It can go from freezer to oven to broiler to microwave oven and result in quality food products. Aluminium Foil- used for Cooking, Freezing, Wrapping, Storing, Packing, Decorating etc. Besides, domestic consumption, the items are extensively used by Caterers, Hotels, Cafeterias, Hospitals, Nursing Homes, Airlines, Railways, Schools, Company Canteen, Coffee-Shops etc.Features:Hygienic and non-toxic.Aluminium foil excludes the penetration of moisture, oxygen, aromas and other gases, as well as micro-organisms and light. Environmentally friendly.Benefit of Ezee Aluminium Foil:Aluminium containers are used in a microwave oven, without melting, charring, or compromising the food_Â¢___s original flavor. It keeps foods fresher than plastic or styrofoam containers. Keeps food warm at any hour of the day.Prevents discoloration .100% bacteria free.Easy to clean and can be used multiple times.Aluminium foil is Recyclable.Size Ezee Aluminium Foil:Ezee Aluminium foil is available in 72 Mtr 11 Micron size. It is pack of 2 Foil Roll.",
3030,"Gold - Blend Decaf Coffee Powder, Imported",Gourmet & World Food,Drinks & Beverages,Nescafe Gold,600,600,Coffee & Pre-Mix,,"Nescafe Gold brings you the finest coffee, crafted with care by experts. This premium imported coffee is made from mountain-grown Arabica beans, now ground 10 times finer to unlock hidden depths from the soul of the bean._The quality beans are roasted to perfection by masters to create the finest blends, giving you that perfect cup of rich taste and aroma.",
3031,Cleaning Cloth Combo - Checked Print,Cleaning & Household,"Mops, Brushes & Scrubs",Rise N Shine,45,75,Dust Cloth & Wipes,4.2,"These cotton cleaning cloth are constructed with high quality non-abrasive and extra soft, quick-drying and strongly absorbs water. It is machine washable, perfect for washing and drying dishes, cleaning countertops, mirrors, tables, windows, cars, etc and are very absorbent. These towels can be washed and reused repeatedly by hand or machine, environmental protection and quick-drying, but please avoid ironing or bleaching.Benefits:_Made of 100% cottonSoft and tear-resistant strengthHighly AbsorbentFade-resistant colour",
3032,Ayurvedic Sanai Powder,Beauty & Hygiene,Health & Medicine,Meghdoot,60,60,Ayurveda,,"The Meghdoot's Sanai Powder is an Ayurvedic remedy which has various health benefits. It is formulated with the Sanai Leaves that is useful in treating chronic constipation and bowel obstruction. It is helpful in weight reduction, skin related diseases can also be cured by its use. It helps in managing constipation and has potent properties.",
3033,Shot Body Spray - Power Play,Beauty & Hygiene,Fragrances & Deos,Layerr,175.5,195,Women's Deodorants,3.8,"Energetic strong and stirred with action, X-MEN Charge Body Deodoratnt has the fragrance of pure desire in the most dashing way. Stay irrestible, 24x7.",
3034,Hair Removal Cream - Sensitive Skin,Beauty & Hygiene,Feminine Hygiene,Veet,317.25,470,Hair Removal,4.2,"Veet Hair Removal creams give you silky smooth skin along with a delightful scent, now with Silk and Fresh Technology. New Veet not only removes very short hair effectively, but is also clinically proven to leave your skin moisturized for up to 24 hrs. Veets new fragrance technology with blend of Lotus Milk & Jasmine fragrance is also designed to ensure that there is no lingering malodor.
Veet Hair Removal Cream for Normal Skin, enriched with Lotus Milk & Jasmine fragrance, is the right solution when going to the parlour is not an option. It effectively removes even short stubborn hair, leaving you free to get up to 4 weeks of lasting smoothness and instantly exfoliated skin, whenever you want. It can be used on legs, arms, bikini line and underarms for a perfectly finished hair-less skin. Veet for sensitive skin is our ultimate beauty formula for Sensitive Skin.  For Beauty tips, tricks & more visit https://bigbasket.blog/",
3035,Baking Measuring Cups/Spoons Set - Plastic Multi Colour,"Kitchen, Garden & Pets",Bakeware,DP,119,125,Bakeware Accessories,,"Baking or cooking can be fun and a blunder too at the same time, if the measurements of the ingredients go wrong._But worry not, these measuring cups are here to rescue. The measuring cups are multicoloured, which comes in different sizes, according to the standard measurements. They are pretty strong and durable yet lightweight at the same time, courtesy its high-quality plastic material. It is a set of 6.",
3036,Stainless Steel Storage Lunch Container - Rainbow,"Kitchen, Garden & Pets",Steel Utensils,Ramson,179,179,Steel Storage Containers,4,"Add a dash of style to your kitchen with these distinctly designed food containers. Ramson storage containers are designed to give you a clean and classy look when placed on your kitchen shelf and they are extremely easy to maintain. These are ideal for gifting purposes because it's made from stainless steel, it won't absorb odours and the air-tight plastic lid prevents any moisture; it is also dishwasher-safe.",
3037,Bathroom Cleaner,Cleaning & Household,All Purpose Cleaners,Godrej Proclean,77.35,91,Floor & Other Cleaners,4.3,"Godrej ProClean Bathroom Cleaner has special formulation with a strong cleansing action and definitive, visible cleaning effects which kills 99.9% germs & removes tough stains, also help to remove grease and grime, soap scum, limescale, mold and mildew.",
3038,Steel Sauce Pan Induction Bottom With Glass Lid - 14 cm,"Kitchen, Garden & Pets",Cookware & Non Stick,Vinayak,329,599,Tawa & Sauce Pan,3.2,Vinayak saucepan is made from the finest stainless steel and is ideal for heating milk and making tea due to its superior heat conductivity and lasting durability. This utensil is induction compatible and can be used both on gas stoves as well as induction cooktops.,
3039,Scent - Make My Day For Women,Beauty & Hygiene,Fragrances & Deos,Fogg ,300,500,Women's Deodorants,4,"It provides you strong enough aroma which lasts for hours.  For Beauty tips, tricks & more visit https://bigbasket.blog/",
3040,Poha - Onion,Gourmet & World Food,"Snacks, Dry Fruits, Nuts",Nourish Organics,90,90,Roasted Seeds & Nuts,2,"The Onion Poha from Nourish Organic is one of the healthiest snacks that can be eaten at any time of the day. Prepared from a slew of non-fattening, totally organic and extremely nutritious ingredients, this snack is healthy and amazingly tasty. It has beaten rice mixed with Bengal Gram sauteed over low-fat rice bran oil and seasoned with a delicious onion powder.",
3041,Grapeseed Oil,Beauty & Hygiene,Skin Care,Organic Harvest,376.2,495,Aromatherapy,,"This Pure Grapeseed oil is non-sticky, which locks the moisture into the skin for a smooth feel. It also absorbs easily into the skin, fights free radicals, and prevents fine lines and wrinkles.",
3042,Bhringraj Powder,Beauty & Hygiene,Health & Medicine,Herbal Hills,60,60,Supplements & Proteins,5,Bhringraj is an Ayurvedic herb found throughout India. Bhringraj means Ruler of the hair__. It is also considered as a general tonic for debility. It has hepato protective properties.,
3043,"Gum - Sugar Free, Spearment Flavoured",Gourmet & World Food,Chocolates & Biscuits,Trident,160,160,"Marshmallow, Candy, Jelly",5,Trident Sugarfree Gum is a chewy candy that is not meant to be swallowed. Chewing Trident after a meal cleans and protects teeth as it contains Xylitol which helps fight cavites and also helps in instantly eliminating bad breath.,
3044,Breakfast Mix - Little Millet Pongal,Snacks & Branded Foods,Ready To Cook & Eat,GoodDiet,89,125,Breakfast & Snack Mixes,4,"Little millet Pongal is a traditional breakfast dish that is popular in Tamilnadu. Millets are known to help with weight loss, keep the digestive tract clean and reduce the risk of heart attacks. With bb GoodDiets little millet Pongal breakfast mix, celebrate Pongal with a blend of grains, millets, and spices, such as little millet, which is not only a rich source of vitamin B, but also provides essential fats to the body, and helps in weight loss. Green gram helps keep the heart healthy by regulating cholesterol levels. If youre looking to lose weight without sacrificing the most important meal of the day, Pongal is the answer.",
3045,Induction Base Pressure Cooker IFP50,"Kitchen, Garden & Pets",Cookware & Non Stick,Hawkins Futura,4199,4350,Pressure Cookers,5,"A beautiful combination of form and function, Futura is the only pressure cooker in the world to have been displayed by The Museum of Modern Art, New York. Futura cooks on average 46% faster than a microwave oven. Ideal for 5 or 7 persons. Inside fitting safety lid - will not open until the pressure falls. Black body heats faster, does not react with food and stays looking new for years. Thick base - stays flat, heat evenly. Hawkins Pressure Cooking can reduce normal cooking time as much as half _ you save fuel and therefore money. Also, steaming is ideal for low-calorie, low-fat cooking. It evokes the natural flavours of the food-producing delicious results. Pressure cooking retains certain nutritive elements such as proteins and vitamins The beautiful, durable black finish given by 60 microns thick hard anodising has two benefits. It makes the pressure cooker absorb heat faster making it more energy-efficient. And the pressure cooker stays looking new for years. The unique pressure regulating system gives you the convenience of finger-tip pressure release and prevents clogging of the steam vent. The double-thick base stays flat, heats evenly and is ideal for light frying before pressure cooking. Suitable for gas, electric, ceramic and halogen cooktops.",
3046,"Adult Dry Dog Food - Chicken, Egg & Rice, High Protein Variant","Kitchen, Garden & Pets",Pet Food & Accessories,Pedigree,3432,3900,Pet Meals & Treats,4.4,"Introducing the all new high protein Pedigree Adult Dog Food variant, Chicken, Egg & Rice for your pooch. Made with high-quality ingredients, Pedigree is a 100% complete and balanced meal for your adult pet dog. It is enriched with the goodness of egg and contains Omega 6 and Zinc, which are proven to provide a healthier and shinier coat to dogs. It is an ideal meal for adult dogs of all breeds and sizes, from Pugs to a Labrador. Pedigree Chicken Egg and Rice contains 22% crude protein, 10% crude fat, and 5% crude fibre. Pedigree assures 5 signs of good health in just 6 weeks. Everything at pedigree is for the love of dogs because dogs bring out the good in us and Pedigree Pet food brings out good in them.",
3047,Deo Milk Elixir Women Deodorant Roll On - Sensitive Skin,Beauty & Hygiene,Fragrances & Deos,Nivea,220.5,225,Women's Deodorants,4.3,"DEO MILK is NIVEA's first range of deodorant sprays and roll-ons with precious milk essence, which gives you fragrant, beautiful and nourished underarms!It replenishes, protects and beautifies underarm skin for instant silky softness after hair removal. The ""Sensitive"" variant is suitable for sensitive skin.",
3048,Kasuri Methi,"Foodgrains, Oil & Masala",Organic Staples,Natureland Organics,35,35,Organic Masalas & Spices,4.2,Kasuri methi is dried fenugreek leaves (Trigonella Foenum Graecum). They are used in Indian cooking and taste similar to a combination of celery and fennel with a slightly bitter bite. Typically the leaves are crumbled and sprinkled over dishes and vegetable curries before serving.,
3049,"Triphala - 500 mg, Potent Extracts",Beauty & Hygiene,Health & Medicine,1mg,495,495,Supplements & Proteins,5,"1 mg Triphala Pure Natural Extract 500mg Veg Capsules is a proprietary Ayurvedic medicine which helps in improving digestive health. Enriched with Vitamin C, it helps in boosting immunity._Triphala is a perfectly balanced mix of Amla fruit (Phyllanthus emblica), Bibhitaki fruit (Terminalia bellerica) and Haritaki fruit (Terminalia chebula). It not only detoxifies the body but also helps in reducing high cholesterol, hyperacidity and general weakness in the body.",
3050,Asparagus,Fruits & Vegetables,Fresh Vegetables,Fresho,84,112.5,Exotic Vegetables,,"The uniquely mild and bitter flavoured Asparagus has long, deep green stalks that are tender at the tip and thick at the end.",
3051,Gluten-Free Oat Bran,Gourmet & World Food,Cereals & Breakfast,NUTRIWISH,450,450,Imported Oats & Porridge,,"Nutriwish_Oat Bran is a better source of protein, B vitamins, iron and soluble fiber. It is high in soluble fiber, promoting healthy digestion and reducing the risk of certain diseases. It is creamy with an almost sweet oaty richness.",
3052,"Perk - Chocolate, Home Treats, 175.5 g, 27 Units",Snacks & Branded Foods,Chocolates & Candies,Cadbury,122,198,Chocolates,4.2,"Perk is a combination of the crisp wafer and delicious Cadbury chocolate that enlivens the mood and sparks the lighter side of life. It is a fine, crunchy wafer enveloped in the luscious chocolate. Relish the rich chocolatey experience in every bite of the perk chocolate.",
3053,Instant Popcorn - Classic Salted,Snacks & Branded Foods,Snacks & Namkeen,PIPO,40,40,Chips & Corn Snacks,4,"For the traditional popcorn lovers, spend your fun times with your loved ones alongside PIPO's Tasty classic salted popcorn. It is gluten and cholesterol free that makes it a very light and healthy snack. Anytime snack to get rid of your food cravings. Just Cook, serve in 3 minutes.",
3054,"Salsa Dip, 4 in 1",Gourmet & World Food,"Sauces, Spreads & Dips",Cornitos,85,100,"Hummus, Cheese, Salsa Dip",,"This salsa dip gives you the Authentic and natural taste of 4 different flavors. Its made from farm fresh tomatoes
and can be enjoyed with Cornitos nachos. This Lipsmacking dip enriches the taste of your nachos making you lick your finger and crave for more! This product is absolutely vegetarian and has zero added preservatives. It is perfect for health freaks as it has zero percent transfat, is completely gluten free and also cholestrol free!


With its unique taste, these nacho chips can also be served as a dish with salsa and cheese dip and other toppings as a full meal. So grab your pack now and keep munching!",
3055,Kare in Adult Diapers Medium,Baby Care,Diapers & Wipes,Kare In,327.25,385,Diapers,4.1,"Kare In adult diaper have been designed with your comfort in mind. The Kare In adult diaper has a super soft inner cotton padding that feels comfortable like cloth and its re-fastenable tapes can be adjusted for a comfortable fit. The Kare In adult diaper has a super absorbent gel core that keeps you feel dry and fresh for hours, without having to worry about incontinence. Its time to step out of those embarrassing moments, regain your confidence and experience the joy of being free again.",
3056,Coriander Seeds/Kottambari Beeja,"Foodgrains, Oil & Masala",Masalas & Spices,Orika,42,56,Whole Spices,3.8,"Arousing fresh aroma and a pure wheatish green colour, whole coriander is a classic combination of both. A cooling spice with undertones of sweetness, whole coriander confers a more non-diffused, bold flavour to your dishes. Featuring high grade & highly aromatic variety from Rajasthan & Gujarat, Orika's whole Coriander is Sortex cleaned and delivers a surge of fresh aroma to elevate your dishes to the next level.",
3057,Very Creamy Salsa - Spicy Chipotle,Gourmet & World Food,"Sauces, Spreads & Dips",All That Dips,160,200,"Hummus, Cheese, Salsa Dip",,"Spicy Chipotle is a creamy and yummy sauce that is the perfect mix of spicy and tangy. You can use it as a sandwich spread, dip or chutney, or you can also use it to dunk your favourite finger food in.",
3058,Farmlite Biscuit - Oats & Almonds,Snacks & Branded Foods,Biscuits & Cookies,Sunfeast,121.5,150,"Marie, Health, Digestive",4.2,A healthy snack is something that we all ideally want when we get hungry between meals. But we usually end up reaching out for fried or fatty food that does no good. With Sunfeast you now have a dedicated partner who will help you stock up on healthy snacks that will give you the best of all worlds especially with the Farmlite Oats and Almonds Biscuit.,
3059,Powder - Rasam,"Foodgrains, Oil & Masala",Masalas & Spices,Grb,50,50,Blended Masalas,4.8,"EAN Code: 8906010367541  Manufactured by: factory. Unit-I. GRB Dairy Foods Pvt Ltd # N-10, III Phase, SIDCO Indl. Estate, Hosur - 635 126, Tamilnadu, India  Country of origin: India  Best before 05-12-2021  For Queries/Feedback/Complaints, Contact our Customer Care Executive at: Phone: 1860 123 1000 | Address: Innovative Retail Concepts Private Limited, No.18, 2nd & 3rd Floor, 80 Feet Main Road, Koramangala 4th Block, Bangalore - 560034 | Email: customerservice@bigbasket.com",
3060,Revitalift Crystal Micro-Essence,Beauty & Hygiene,Skin Care,Loreal Paris,1400,1400,Face Care,4.1,"L'Oreal Paris brings to you a revolution in skincare. Powered by micronized technology, Crystal Micro-essence penetrates up to 10 skin layers to give crystal clear brightness to the skin, boost skin moisture retention, plump & smoothen skin.Its breakthrough light & watery texture allows quick absorption yet still leaves skin highly moisturized. _It contains skin brightening actives. Salicylic acid mildly exfoliates and refines pores and skin texture.Mild exfoliating help removes the dead skin cells and accelerates skin renewal. Legendary Centella Asiatica, known for its healing power to deeply repair, boost elasticity and smooth out lines & wrinkles.Use it to get an immediate effect. Skin feels hydrated, plump & refreshed. With its regular use, you will get smoother skin with crystal clear brightness. Don__ stop at just clear skin, go for crystal clear.",
3061,Moth/Patanga Huruli - Whole,"Foodgrains, Oil & Masala",Organic Staples,Natureland Organics,97,97,Organic Dals & Pulses,3.4,"Moth Bean is the main source of protein and calories. It can always be sprouted and then be cooked as salads to make a crunchy snack which will make you feel light on the stomach. Natureland Organic Foods Moth Whole is medium-sized and had a great traditional taste since organically grown using traditional seeds and processed traditionally. It is machine cleaned and handpicked, before packing to ensure its purity and hygiene, which is healthier, tastier and have high nutritional value, easy to digest and easy to cook.",
3062,Scrub Sponge Large,Cleaning & Household,"Mops, Brushes & Scrubs",Scotch brite,59.4,65,"Utensil Scrub-Pad, Glove",4.2,"Scotch-Brite Scrub Sponge is designed with a superior quality sponge backing which helps it to Stay Firm for a longer time.


A Perfect tool with both scrub pad & sponge on either side that helps you to wash utensils very easily.",
3063,"Super Bucket - Assorted Colour, 16 L + Metro Mug - Plain, Assorted, 1 L",Cleaning & Household,Bins & Bathroom Ware,JOYO,212,212,Buckets & Mugs,,"This Bucket 16 litre is a sturdy addition to your home,bathroom utility. Made from polypropylene material, it is great combination of Style and utility. Joyo metro bath mug is strong & stylish. It comes in beautiful colours and is made from 100 % newly manufactured plastic material.",
3064,"Kulfi Maker - With 8 Candy Cone, Multicolor","Kitchen, Garden & Pets",Storage & Accessories,Mastercook,130,130,Containers Sets,3.5,"Get these perfectly shaped kulfi containers to beat the summer heat by making homemade kulfi, soda, juice, ice-cream popsicles, etc. by conveniently sitting at your home, saving money and enjoying delectable kulfis with your family and friends.",
3065,Skin Fit - Post-Workout Cooldown Hydrating Gel,Beauty & Hygiene,Skin Care,Ponds,335.04,349,Face Care,,"Use the Pond__ Skin Fit Post-Workout Cooldown Hydrating Gel Moisturiser after a workout session for de-stressing, hydrating and rebalancing your skin, after the toughest workout. It protects the skin from pollution-induced dryness and dullness. This gel moisturiser has a refreshing & non-sticky feel which helps give your skin a post-workout glow. Suitable for use after a workout session at the gym, running, jogging, exercising, cycling, swimming, Zumba, yoga, etc. As you work out, the skin temperature goes up and pores open up as per natural process but if the skin doesn__ cool down soon enough then it is subject to aggressors like dirt, dust, pollutants that get into the skin through the pores which are not good for the skin. This gel moisturiser helps cool your skin down and soothes your skin from the post-workout redness, burning sensation and gives relief to the skin after a workout session. When you work out you sweat, and your skin gets dehydrated. This gel moisturiser helps rehydrate your skin and replenishes the moisture lost while you sweat it out. It is non-comedogenic and not tested on animals.Your skin needs protection during the workout and care post-workout so that you can continue to sweat now while you glow later. The Pond__ Skin Fit range is a breakthrough skincare range for fitness enthusiasts. The range consists of Pre-Workout and Post-Workout products. Other products in the Pond__ Skin Fit range include - Pond__ Skin Fit Pre-Workout High-performance Sunscreen SPF 50 50g, Pond__ Skin Fit Pre-Workout High-performance Pollution Defence CrÃ¨me 50g, Pond__ Skin Fit Post-Workout Cooldown Scrub Facewash 100g and Pond__ Skin Fit Post-Workout Cooldown Hydrating Gel 50g.",
3066,Base Camp Body Lotion - For Men,Beauty & Hygiene,Skin Care,USTRAA,299.25,399,Face & Body,3,Ustraa body lotion is packed with shea butter and other ingredients that promote healthy moisturized skin with a fragrance that does not make you smell like flowers. This product is completely paraben and sulphate free.,
3067,Sacred Sandalwood Bath Salt,Beauty & Hygiene,Bath & Hand Wash,Nyassa,500,500,Bath Salts & Oils,4.8,"Nyassa's Sandalwood bath salt is an extension of its Sandalwood line of bath and body products that have a warm, woody, heavenly fragrance. Let the delicate, woody fragrance of Sacred Sandalwood leave you spellbound. This is a combination of Himalayan pink salt and Epsom salt, Himalayan Pink Salt has rich mineral content that includes over 84 minerals and trace elements such as calcium, magnesium, potassium, copper and iron.",
3068,"Basmati Rice/Basmati Akki - Mogra, Broken/Tukda","Foodgrains, Oil & Masala",Rice & Rice Products,bb Royal,284,400,Basmati Rice,3.9,"Convert your everyday simple recipes into a delight with aromatic BB Popular Mini Broken Mogra Basmati Rice. A perfect fit for everyday consumption, it is popularly used in the preparation of pulao, biryani, kheer and other delectable dishes. Carefully chosen and naturally grown to give you an authentic taste and flavour. Slender grains that add to the texture of your food. A characteristic fragrance that lightens up your taste buds.",
3069,Stainless Steel Airtight Storage Container - SL-1302,"Kitchen, Garden & Pets",Steel Utensils,Steel Lock,165,219,Steel Storage Containers,3.9,"Stainless Steel Special Airtight Containers uses silicon which keeps food items fresh longer and has all 4 sides locks to prevent spills. It is ideal to carry meals/fruits or any food items to work, travel, school, college outing etc.",
3070,Instant Popcorn Value Pack - Movie Theatre Butter,Snacks & Branded Foods,Snacks & Namkeen,ACT II,120,120,Chips & Corn Snacks,4,"Enhance your movie-watching experience, in the comfort of your own home with World__ No. 1 ACT II popcorn. ACT II popcorn is easy to make. In only 3 minutes, enjoy Hot n Fresh n delicious popcorn along with the delightful popcorn aroma. You can choose among different pack sizes such as individual packs, family packs and party packs, as per your need.
Relish your favourite ACT II popcorn, now available in various lip-smacking desi flavours such as butter, Sweet Pani Puri, Tandoori Tadka, Southern Spice, Butter pepper as well as international flavours such as Cheese Delite, Peri Peri, Thai Sweet Chilli and Tomato Chili.",
3071,"Double Chocolate Mocha Instant Coffee - No Sugar, Vegan",Gourmet & World Food,Drinks & Beverages,Colombian Brew Coffee,190,190,Coffee & Pre-Mix,,"This is an elegant pack of 50g, 1.8oz - 25 servings of Colombian Brew Double Chocolate Mocha, made with handpicked 100% pure coffee beans and cocoa beans. Colombian Brew is inspired by Francisco Romero, a priest in the mid-16th century Colombia that started its coffee revolution. Colombian Brew Coffee is sourced from best Coffee Bean Plantations in the world.Vegan. 100% Natural. Pure & Artisan Cacao.",
3072,"Rich Repair Moisturizer - Rose & Life Everlasting, For Vata",Beauty & Hygiene,Skin Care,Shankara,2331,2590,Face Care,,The Rich Repair Moisturizer is a highly advanced anti-oxidant cream to accelerate tissue repair as well as nourish and moisturize dry skin. It is used as natural sun protection and has a warming effect. This moisturizer restores and maintains balance in the skin._Benefits:_1.Works to renew and oxygenate the skin_2. Deeply moisturizing and warming_3. Rich in nutrients and antioxidant protection_4. Restores and maintains balance in skin_5. Natural sun protection,
3073,& Moms Bathing Soap - Tulsi,Beauty & Hygiene,Bath & Hand Wash,Dettol,108,120,Bathing Bars & Soaps,4.4,"Your trusted Dettol offers a new range of Dettol Co-Created with Moms beauty bathing soaps. It is made by ingredients approved by moms and with minimal chemicals. This new range is free from parabens, harsh chemical residues, artificial dyes, and talc; it has fragrance infused with 100% natural basil essence. It gives 10 times better protection than any ordinary soap and is gentle on skin. Reassuringly, Dettol protects from a wide range of illness-causing germs and bacteria to help you stay healthy.",
3074,Juzt Jelly - Strawberry Flavour,Snacks & Branded Foods,Chocolates & Candies,ALPENLIEBE,50,50,"Toffee, Candy & Lollypop",4.4,"Alpenliebe Juzt Jelly - Family Mein Masti Chali! Irresistible Strawberry flavoured luscious jellies. Experience goodness of fruit, with 25% Fruit pulp in the form of a tasty & chewy jelly! These adorable looking jellies can be consumed by kids and grown-ups alike. Surprise your kids with these attractive jellies by packing some in their tiffin._What's more? Juzt Jellies can be used as an ingredient for more interesting and enticing desserts like cakes, ice-creams, shakes, muffins etc.",
3075,"Veet Hair Removal Cream 100 g + Full Body Waxing Kit, 20s for Sensitive Skin",Beauty & Hygiene,Feminine Hygiene,Veet,312.48,434,Hair Removal,,"Experience silky smooth skin and delightful scent with New Veet Hair Removal Cream, now with Silk & Fresh Technology. Veet works close to the root of the hair, giving you superior, long-lasting smoothness'. Veet's sensitive cream is formulated with Aloe Vera and Vitamin E, which has soothing properties. This means you__l not have just smooth, but silky-smooth, moisturised and nourished skin.Effective hair removal in just 5-10 minutesRemoves short-stubborn^ hair from legs, arms, underarms and bikini lineClinically proven to leave your skin moisturized for up to 24 hoursNew fragrance technology is also designed to ensure that there is no lingering malodorOur Sensitive Skin formula is enriched with Aloe Vera and Vitamin E, known for their soothing properties, dermatologically tested.
 Veet Ready-to-Use Wax Strips are a perfect solution when going to the parlour is not an option. It effectively pulls out as short as 1.5mm short hair, giving you up to 4 weeks of lasting smoothness and instantly exfoliated skin, whenever you want. And they're easy to use, any time. These waxing strips, as the name suggests are great for instant use and does not require heating, which means, no mess!Dead skin cells tend to accumulate on our skin surface regularly, making it necessary for us to wax and remove not just the hair but dead cells that make the skin look dull and dry. Veet ready-to-use wax strips can help exfoliate the skin while it also removes hair just perfectly. It comes with an easy grip tab that makes the waxing process quicker and simpler. Specially formulated with Almond Oil and Vitamin E, this variant takes extra care to suit your sensitive skinFor Beauty tips, tricks & more visit https://bigbasket.blog/",
3076,LionPride - Pocket Deodorant - 0% Gas,Beauty & Hygiene,Fragrances & Deos,Old Spice,71.25,75,Men's Deodorants,4.1,"Smellcome to Magic with Old Spice__ New Launch Deodorant range. 0% Gas and for long-lasting 24-hour freshness.A classic masculine fragrance with modern embellishments, including a blend of citrus fruit, fresh herb, and precious wood notes. It__ a jungle out there. Wild and full of sweat. But you, my king, suave and protected, are the leader of the pride.",
3077,Chipotle Southwest Dressing,Snacks & Branded Foods,"Spreads, Sauces, Ketchup",Veeba,149,149,Dips & Dressings,4.3,100% Pure & Vegetarian .78% fat free.,
